,m1,m2,m3,m4,m5,m6
361,aff.nor,aff.nor,chunk,chunk,chunk,end
362,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
363,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
364,chunk,questn,questn,questn,aff.nor,end
365,aff.nor,aff.nor,aff.nor,chunk,aff.nor,phone
366,aff.nor,aff.nor,chunk,aff.nor,aff.nor,phone
367,aff.nor,aff.nor,chunk,chunk,questn,end
368,aff.nor,aff.nor,chunk,chunk,chunk,end
369,aff.nor,aff.nor,chunk,chunk,questn,end
370,questn,aff.nor,aff.nor,questn,aff.nor,end
371,aff.nor,aff.nor,questn,aff.nor,questn,end
372,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
373,questn,aff.nor,chunk,chunk,chunk,end
374,aff.nor,aff.nor,questn,chunk,aff.nor,piss.off
376,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
377,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
378,questn,aff.nor,aff.nor,questn,aff.nor,end
380,aff.nor,aff.nor,questn,questn,questn,end
381,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
385,aff.nor,questn,questn,questn,questn,end
386,aff.nor,chunk,questn,chunk,aff.nor,end
387,chunk,questn,questn,aff.nor,aff.nor,end
388,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
389,aff.nor,aff.nor,chunk,chunk,questn,end
390,aff.nor,chunk,aff.off,aff.off,aff.off,end
391,aff.nor,chunk,aff.nor,aff.nor,aff.nor,phone
392,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
393,aff.nor,piss.off,aff.nor,aff.nor,aff.nor,end
394,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
395,aff.nor,aff.nor,questn,questn,questn,end
